train_no,train_name,source_code,source_name,destination_code,destination_name,class,days_before_journey,weekday,month,punctuality_rate,avg_waitlist,confirmation_chance
17425,Ajmer Jn-Amritsar Mail Express,AII,Ajmer Jn,ASR,Amritsar,CC,77,2,12,61.58,240,30.12%
43307,Chennai Egmore-Hyderabad Deccan Express,MS,Chennai Egmore,HYB,Hyderabad Deccan,1A,13,6,7,66.83,456,18.2%
69618,Visakhapatnam-Pune Mail Express,VSKP,Visakhapatnam,PUNE,Pune,1A,47,4,6,82.27,60,75.35%
50324,Ernakulam Jn-Bhopal Mail Express,ERS,Ernakulam Jn,BPL,Bhopal,2A,2,3,2,64.35,481,21.93%
10478,Hyderabad Deccan-Dibrugarh Express,HYB,Hyderabad Deccan,DBRG,Dibrugarh,1A,35,3,8,85.28,350,33.57%
74411,Vasco-da-Gama-Howrah Intercity Express,VSG,Vasco-da-Gama,HWH,Howrah,2A,104,0,11,92.74,426,5%
66966,Dimapur-Raxaul Express,DMV,Dimapur,RXL,Raxaul,2A,74,3,7,88.02,62,64.72%
70225,Dimapur-Mysuru Intercity Express,DMV,Dimapur,MYS,Mysuru,3A,12,3,9,72.29,192,61.54%
80388,Dibrugarh Town-New Tinsukia Intercity Express,DBRT,Dibrugarh Town,NTSK,New Tinsukia,3A,36,2,11,75.19,214,52.38%
20031,Shalimar-Mumbai Central Mail Express,SHM,Shalimar,BCT,Mumbai Central,3A,120,5,9,87.33,43,50.11%
95931,Dibrugarh Town-New Jalpaiguri Superfast Express,DBRT,Dibrugarh Town,NJP,New Jalpaiguri,1A,102,6,4,94.67,438,5%
70646,Visakhapatnam-Tirupati Mail Express,VSKP,Visakhapatnam,TPTY,Tirupati,3A,87,2,8,97.67,349,17.17%
33153,Thiruvananthapuram Central-Cuttack Mail Express,TVC,Thiruvananthapuram Central,CTC,Cuttack,CC,41,4,2,78.3,367,27.34%
11833,Lumding Jn-Raxaul Mail Express,LMG,Lumding Jn,RXL,Raxaul,3A,117,4,5,98.86,465,5%
50306,Garib Rath Express 1,NTSK,New Tinsukia,SRR,Shoranur Jn,CC,43,6,9,86.42,196,50.55%
89922,Rourkela-Chennai Egmore Express,ROU,Rourkela,MS,Chennai Egmore,2A,74,1,11,95.28,407,9.99%
91749,Firozpur Cantt-Secunderabad Mail Express,FZR,Firozpur Cantt,SC,Secunderabad,SL,61,6,4,82.41,329,24.62%
51092,Ernakulam Jn-Howrah Superfast Express,ERS,Ernakulam Jn,HWH,Howrah,SL,73,3,4,92.11,437,5%
92074,Sealdah-Darbhanga Express,SDAH,Sealdah,DBG,Darbhanga,3A,18,2,2,69.93,438,21.63%
89268,Chennai Central-Cuttack Intercity Express,MAS,Chennai Central,CTC,Cuttack,1A,68,4,8,76.94,433,5%
45162,Hazrat Nizamuddin-Kanpur Central Mail Express,NZM,Hazrat Nizamuddin,CNB,Kanpur Central,SL,51,6,1,77.3,355,25.75%
50944,Mumbai Central-Dimapur Mail Express,MMCT,Mumbai Central,DMV,Dimapur,CC,114,2,3,64.82,97,44.64%
31006,Sealdah-Kanpur Central Mail Express,SDAH,Sealdah,CNB,Kanpur Central,2A,83,4,4,73.7,336,12.47%
45162,Hazrat Nizamuddin-Kanpur Central Mail Express,NZM,Hazrat Nizamuddin,CNB,Kanpur Central,CC,108,0,9,79.85,475,5%
14085,Rourkela-Kanpur Central Express,ROU,Rourkela,CNB,Kanpur Central,SL,3,5,6,72.74,59,92.62%
42710,Vasco-da-Gama-Alipurduar Jn Express,VSG,Vasco-da-Gama,APDJ,Alipurduar Jn,2S,114,5,10,91.45,407,5%
68556,Firozpur Cantt-Mariani Jn Express,FZR,Firozpur Cantt,MXN,Mariani Jn,SL,109,2,8,61.86,155,37.61%
71687,Tirupati-Ernakulam Jn Intercity Express,TPTY,Tirupati,ERS,Ernakulam Jn,1A,103,3,8,70.87,181,39.95%
18600,Vasco-da-Gama-Kolkata Superfast Express,VSG,Vasco-da-Gama,KOAA,Kolkata,2A,95,0,12,98.77,487,5%
27389,Mysuru-Ajmer Jn Superfast Express,MYS,Mysuru,AII,Ajmer Jn,3A,4,5,10,70.24,144,76.59%
16125,Kochuveli-Vijayawada Superfast Express,KCVL,Kochuveli,BZA,Vijayawada,SL,47,3,11,92.49,67,70.33%
68887,Chennai Egmore-Visakhapatnam Express,MS,Chennai Egmore,VSKP,Visakhapatnam,3A,34,2,6,97.35,281,44.16%
20685,Puri-Howrah Superfast Express,PURI,Puri,HWH,Howrah,SL,96,5,7,97.69,481,5%
67236,Dehradun-Rangiya Jn Express,DDN,Dehradun,RNY,Rangiya Jn,2S,0,5,6,70.86,94,79.6%
47441,New Bongaigaon-Ahmedabad Express,NBQ,New Bongaigaon,ADI,Ahmedabad,2A,57,1,8,91.21,351,26.79%
12938,Firozpur Cantt-Mysuru Superfast Express,FZR,Firozpur Cantt,MYS,Mysuru,2A,89,6,3,81.12,361,9.91%
60859,Tirupati-New Delhi Mail Express,TPTY,Tirupati,NDLS,New Delhi,2S,63,0,12,80.3,284,32.22%
10156,Chennai Egmore-New Delhi Express,MS,Chennai Egmore,NDLS,New Delhi,2A,54,6,7,89.42,330,22.23%
99548,Kolkata-Cuttack Intercity Express,KOAA,Kolkata,CTC,Cuttack,SL,3,6,11,92.44,276,49.87%
31888,Ajmer Jn-Mariani Jn Mail Express,AII,Ajmer Jn,MXN,Mariani Jn,SL,33,4,3,87.25,156,64.41%
76326,Gaya Jn-Firozpur Cantt Mail Express,GAYA,Gaya Jn,FZR,Firozpur Cantt,2A,7,3,10,87.68,23,97.14%
71066,New Tinsukia-Hyderabad Deccan Express,NTSK,New Tinsukia,HYB,Hyderabad Deccan,SL,63,6,8,74.2,244,40.14%
34263,Darbhanga-New Tinsukia Express,DBG,Darbhanga,NTSK,New Tinsukia,2A,53,2,10,71.13,54,78.28%
71370,Dehradun-Silchar Intercity Express,DDN,Dehradun,SCL,Silchar,SL,54,4,6,67.72,348,19.22%
30754,Bhopal-Bandra Terminus Express,BPL,Bhopal,BDTS,Bandra Terminus,2A,44,0,2,73.72,90,69.22%
23622,Lucknow Jn-Dehradun Express,LJN,Lucknow Jn,DDN,Dehradun,3A,67,0,8,77.08,243,38.42%
71873,Secunderabad-Jabalpur Intercity Express,SC,Secunderabad,JBP,Jabalpur,2A,5,0,9,62.14,342,36.97%
45274,Pune-Kharagpur Jn Superfast Express,PUNE,Pune,KGP,Kharagpur Jn,2S,74,0,3,72.31,377,9.59%
50841,Firozpur Cantt-Kanpur Central Superfast Express,FZR,Firozpur Cantt,CNB,Kanpur Central,3A,55,4,12,69.27,425,7.59%
67133,Hyderabad Deccan-Puri Superfast Express,HYB,Hyderabad Deccan,PURI,Puri,CC,0,0,12,71.26,282,51.79%
16702,Delhi Sarai Rohilla-Kokrajhar Express,DEE,Delhi Sarai Rohilla,KOJ,Kokrajhar,CC,82,5,3,84.53,60,63.39%
44021,Mariani Jn-Jorhat Town Intercity Express,MXN,Mariani Jn,JRH,Jorhat Town,SL,31,0,2,96.04,20,86.76%
93628,Jorhat Town-Cuttack Superfast Express,JRH,Jorhat Town,CTC,Cuttack,CC,55,2,10,96.23,134,57.82%
90213,Rangiya Jn-Guwahati Express,RNY,Rangiya Jn,GHY,Guwahati,2S,24,6,4,65.8,414,23.63%
98032,Mumbai Central-New Delhi Express,MMCT,Mumbai Central,NDLS,New Delhi,3A,55,5,7,84.11,197,50.3%
39881,Ahmedabad-Chennai Egmore Intercity Express,ADI,Ahmedabad,MS,Chennai Egmore,2A,118,2,4,68.67,485,5%
53769,Kanpur Central-Jabalpur Superfast Express,CNB,Kanpur Central,JBP,Jabalpur,2S,110,5,12,79.27,450,5%
53087,Dehradun-Madurai Intercity Express,DDN,Dehradun,MDU,Madurai,2A,49,1,8,81.2,153,60.36%
65869,Dehradun-Dibrugarh Superfast Express,DDN,Dehradun,DBRG,Dibrugarh,3A,99,2,1,85.11,322,15.68%
67905,Amritsar-Secunderabad Mail Express,ASR,Amritsar,SC,Secunderabad,2S,60,6,3,67.17,229,43.67%
88018,Jorhat Town-Tirupati Express,JRH,Jorhat Town,TPTY,Tirupati,SL,9,3,3,83.02,416,26.24%
13526,Lumding Jn-Yesvantpur Intercity Express,LMG,Lumding Jn,YPR,Yesvantpur,3A,56,4,10,67.91,217,41.62%
97318,Dibrugarh Town-Madurai Superfast Express,DBRT,Dibrugarh Town,MDU,Madurai,2S,31,5,8,90.96,261,42.6%
98304,Vasco-da-Gama-Gaya Jn Express,VSG,Vasco-da-Gama,GAYA,Gaya Jn,2S,30,5,9,79.5,453,18.3%
99216,Shalimar-Bhopal Express,SHM,Shalimar,BPL,Bhopal,CC,109,4,7,63.17,87,48.59%
90397,Kharagpur Jn-Dibrugarh Intercity Express,KGP,Kharagpur Jn,DBRG,Dibrugarh,SL,100,4,7,79.21,254,28.53%
95010,Agartala-Pune Intercity Express,AGTL,Agartala,PUNE,Pune,1A,48,5,3,71.78,226,47.3%
50594,New Tinsukia-Bandra Terminus Mail Express,NTSK,New Tinsukia,BDTS,Bandra Terminus,3A,36,0,12,67.31,383,22.33%
70599,Ernakulam Jn-Alipurduar Jn Express,ERS,Ernakulam Jn,APDJ,Alipurduar Jn,1A,18,0,5,86.63,25,85.04%
78690,Kochuveli-Delhi Jn Superfast Express,KCVL,Kochuveli,DLI,Delhi Jn,2S,103,0,10,95.83,235,22.19%
90021,Thiruvananthapuram Central-Guwahati Express,TVC,Thiruvananthapuram Central,GHY,Guwahati,2A,58,0,3,91.47,127,58.72%
15461,Mysuru-Amritsar Mail Express,MYS,Mysuru,ASR,Amritsar,CC,79,3,4,96.93,149,51.84%
77755,New Delhi-Jabalpur Mail Express,NDLS,New Delhi,JBP,Jabalpur,1A,47,1,2,63.16,107,68.12%
77499,Puri-Rangiya Jn Intercity Express,PURI,Puri,RNY,Rangiya Jn,1A,38,2,7,88.77,261,43.26%
27360,Guwahati-Lumding Jn Superfast Express,GHY,Guwahati,LMG,Lumding Jn,1A,7,5,1,92.5,244,59.24%
31096,Jabalpur-Bikaner Superfast Express,JBP,Jabalpur,BKN,Bikaner,2S,72,1,2,87.72,140,56.72%
82765,Alipurduar Jn-Cuttack Intercity Express,APDJ,Alipurduar Jn,CTC,Cuttack,3A,102,3,4,76.59,14,58.73%
92361,Tirupati-Ajmer Jn Superfast Express,TPTY,Tirupati,AII,Ajmer Jn,2S,56,1,8,97.33,435,5.96%
67959,Raxaul-Lucknow Express,RXL,Raxaul,LKO,Lucknow,2S,107,6,1,86.36,42,53.31%
44849,Tirupati-Lumding Jn Mail Express,TPTY,Tirupati,LMG,Lumding Jn,CC,9,6,9,66.87,80,84.83%
72105,Kokrajhar-Kanpur Central Intercity Express,KOJ,Kokrajhar,CNB,Kanpur Central,2A,114,2,1,97.97,346,9.16%
62062,Guwahati-Amritsar Superfast Express,GHY,Guwahati,ASR,Amritsar,1A,42,2,12,68.35,195,54.44%
77626,Bhubaneswar-Ajmer Jn Express,BBS,Bhubaneswar,AII,Ajmer Jn,1A,40,6,2,66.84,332,36.09%
45593,New Tinsukia-Kochuveli Express,NTSK,New Tinsukia,KCVL,Kochuveli,2A,5,6,5,73.66,369,40.12%
95010,Agartala-Pune Intercity Express,AGTL,Agartala,PUNE,Pune,1A,109,0,1,93.2,364,7.57%
57092,Amritsar-Sealdah Intercity Express,ASR,Amritsar,SDAH,Sealdah,1A,95,1,2,63.32,161,43.58%
80480,Kanyakumari-Haridwar Mail Express,CAPE,Kanyakumari,HW,Haridwar,CC,117,6,11,98.68,457,5%
12122,Kanpur Central-Vasco-da-Gama Intercity Express,CNB,Kanpur Central,VSG,Vasco-da-Gama,SL,24,6,12,76.25,399,29.12%
13350,Puri-Coimbatore Intercity Express,PURI,Puri,CBE,Coimbatore,SL,6,6,6,84.28,213,60.07%
15650,Dibrugarh-Mumbai Central Intercity Express,DBRG,Dibrugarh,BCT,Mumbai Central,3A,60,2,1,75.04,162,56.37%
73784,Lumding Jn-Ernakulam Jn Intercity Express,LMG,Lumding Jn,ERS,Ernakulam Jn,2A,33,6,1,72.38,442,14.2%
11827,Firozpur Cantt-Pune Superfast Express,FZR,Firozpur Cantt,PUNE,Pune,2S,53,6,2,89.85,256,42.47%
30529,Chennai Egmore-Guwahati Intercity Express,MS,Chennai Egmore,GHY,Guwahati,3A,13,5,9,94.11,450,17.26%
73506,Secunderabad-Firozpur Cantt Express,SC,Secunderabad,FZR,Firozpur Cantt,1A,71,4,2,91.73,153,49.66%
89559,Chennai Central-Haridwar Mail Express,MAS,Chennai Central,HW,Haridwar,CC,72,3,11,60.84,38,72.52%
38597,Tirupati-Rangiya Jn Mail Express,TPTY,Tirupati,RNY,Rangiya Jn,3A,71,1,7,96.42,21,72.75%
95227,Rangiya Jn-Delhi Sarai Rohilla Intercity Express,RNY,Rangiya Jn,DEE,Delhi Sarai Rohilla,3A,34,5,5,95.5,134,62.25%
91265,Ernakulam Jn-Jabalpur Express,ERS,Ernakulam Jn,JBP,Jabalpur,3A,118,2,3,89.86,319,9.99%
16504,Guwahati-Chennai Egmore Express,GHY,Guwahati,MS,Chennai Egmore,2S,7,5,6,60.75,275,55.31%
33329,Gaya Jn-Agartala Express,GAYA,Gaya Jn,AGTL,Agartala,3A,56,5,9,92.77,116,63.58%
92709,Shoranur Jn-Kharagpur Jn Mail Express,SRR,Shoranur Jn,KGP,Kharagpur Jn,SL,79,3,1,80.39,449,5%
44965,Ahmedabad-Secunderabad Superfast Express,ADI,Ahmedabad,SC,Secunderabad,1A,85,4,2,76.44,288,21.61%
10942,Sampark Kranti Express 2,ADI,Ahmedabad,BPL,Bhopal,SL,68,0,8,99.03,337,22.7%
65725,Darbhanga-Kanyakumari Superfast Express,DBG,Darbhanga,CAPE,Kanyakumari,SL,33,1,7,81.39,461,10.77%
99765,Kharagpur Jn-Darbhanga Express,KGP,Kharagpur Jn,DBG,Darbhanga,2A,76,5,11,86.87,115,58.37%
87583,Agartala-Mysuru Intercity Express,AGTL,Agartala,MYS,Mysuru,SL,6,2,5,89.49,349,36.05%
22608,Kanpur Central-Delhi Sarai Rohilla Mail Express,CNB,Kanpur Central,DEE,Delhi Sarai Rohilla,1A,101,3,7,72.9,14,59.14%
99859,Ahmedabad-Dehradun Mail Express,ADI,Ahmedabad,DDN,Dehradun,3A,90,5,9,90.31,56,64.47%
39451,Sampark Kranti Express,LMG,Lumding Jn,BCT,Mumbai Central,SL,32,1,9,96.5,283,40.01%
68953,Coimbatore-Thiruvananthapuram Central Express,CBE,Coimbatore,TVC,Thiruvananthapuram Central,3A,67,5,7,78.26,52,73.21%
27808,Kolkata-Chennai Egmore Superfast Express,KOAA,Kolkata,MS,Chennai Egmore,1A,16,5,2,77.34,249,54.21%
47782,Mariani Jn-Madurai Mail Express,MXN,Mariani Jn,MDU,Madurai,2A,38,4,2,82.13,119,65.09%
20155,Mumbai Central-Yesvantpur Mail Express,MMCT,Mumbai Central,YPR,Yesvantpur,2S,14,2,3,83.67,77,82.02%
85850,Agartala-Tirupati Intercity Express,AGTL,Agartala,TPTY,Tirupati,2S,68,1,4,74.54,248,35.23%
31950,Kokrajhar-Dehradun Superfast Express,KOJ,Kokrajhar,DDN,Dehradun,3A,114,4,11,91.41,27,58.26%
49334,Kharagpur Jn-Chennai Egmore Superfast Express,KGP,Kharagpur Jn,MS,Chennai Egmore,2S,75,4,5,90.81,176,48.75%
96539,Pune-Kolkata Mail Express,PUNE,Pune,KOAA,Kolkata,2S,75,5,9,95.13,200,46.56%
94192,New Jalpaiguri-Rangiya Jn Intercity Express,NJP,New Jalpaiguri,RNY,Rangiya Jn,1A,21,2,7,67.05,396,29.98%
11526,Delhi Jn-Dimapur Express,DLI,Delhi Jn,DMV,Dimapur,CC,95,0,9,68.65,49,60.56%
28693,Ajmer Jn-Dibrugarh Express,AII,Ajmer Jn,DBRG,Dibrugarh,3A,4,6,2,79.64,336,46.17%
48455,Rangiya Jn-Puri Superfast Express,RNY,Rangiya Jn,PURI,Puri,2S,50,5,4,61.89,334,27.24%
24394,Bhopal-Firozpur Cantt Superfast Express,BPL,Bhopal,FZR,Firozpur Cantt,3A,45,4,2,97.08,316,30.51%
87583,Agartala-Mysuru Intercity Express,AGTL,Agartala,MYS,Mysuru,SL,9,3,12,95.96,385,31.97%
53030,Jabalpur-Raxaul Express,JBP,Jabalpur,RXL,Raxaul,3A,118,6,12,81.67,203,23.76%
20271,Rangiya Jn-Darbhanga Mail Express,RNY,Rangiya Jn,DBG,Darbhanga,2A,110,3,9,91.22,124,42.55%
19103,Jorhat Town-Lucknow Jn Superfast Express,JRH,Jorhat Town,LJN,Lucknow Jn,1A,41,6,5,84.75,91,69.76%
68115,Gaya Jn-Vasco-da-Gama Superfast Express,GAYA,Gaya Jn,VSG,Vasco-da-Gama,SL,78,3,9,84.58,9,75.51%
62278,Shalimar-Tirupati Intercity Express,SHM,Shalimar,TPTY,Tirupati,2A,83,6,9,92.89,463,5%
77467,Silchar-Visakhapatnam Express,SCL,Silchar,VSKP,Visakhapatnam,CC,113,2,2,96.59,325,10.71%
36143,Delhi Jn-Alipurduar Jn Mail Express,DLI,Delhi Jn,APDJ,Alipurduar Jn,2S,41,4,5,60.18,199,53.32%
36102,Chennai Egmore-Kokrajhar Express,MS,Chennai Egmore,KOJ,Kokrajhar,2S,72,1,1,90.21,404,11.23%
70090,Darbhanga-Rangiya Jn Intercity Express,DBG,Darbhanga,RNY,Rangiya Jn,SL,103,2,11,62.48,359,7.98%
83563,Tamil Nadu Express,MAS,Chennai Central,NDLS,New Delhi,2S,109,5,8,81.35,356,8.21%
65194,Howrah-Chennai Central Mail Express,HWH,Howrah,MAS,Chennai Central,3A,87,1,8,82.61,434,5%
62296,Garib Rath Express 7,BBS,Bhubaneswar,CBE,Coimbatore,3A,78,0,11,71.31,452,5%
25796,Coimbatore-Tirupati Intercity Express,CBE,Coimbatore,TPTY,Tirupati,2S,7,2,8,82.18,124,72.15%
82465,Patna Jn-Vijayawada Express,PNBE,Patna Jn,BZA,Vijayawada,2S,20,6,8,81.19,12,90.59%
20973,Chhatrapati Shivaji Maharaj Terminus-Rangiya Jn Superfast Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,RNY,Rangiya Jn,1A,87,6,1,99.91,2,68.87%
98759,Lucknow Jn-Firozpur Cantt Express,LJN,Lucknow Jn,FZR,Firozpur Cantt,1A,118,2,8,95.8,279,12.45%
27808,Kolkata-Chennai Egmore Superfast Express,KOAA,Kolkata,MS,Chennai Egmore,2A,99,0,9,96.12,260,21.49%
67626,Gaya Jn-Chennai Central Intercity Express,GAYA,Gaya Jn,MAS,Chennai Central,3A,65,1,9,60.97,81,63.09%
55082,Doon Express,DDN,Dehradun,HWH,Howrah,SL,28,1,1,66.55,161,62.54%
61820,Pune-Bhopal Mail Express,PUNE,Pune,BPL,Bhopal,CC,107,2,1,74.43,163,33.34%
88614,Haridwar-Shalimar Express,HW,Haridwar,SHM,Shalimar,2A,11,6,8,70.12,41,90.03%
29648,Delhi Jn-New Delhi Mail Express,DLI,Delhi Jn,NDLS,New Delhi,2S,44,0,12,90.43,396,17.95%
25738,Lucknow-Madurai Express,LKO,Lucknow,MDU,Madurai,CC,112,4,11,89.85,61,50.17%
18639,Vijayawada-Sealdah Intercity Express,BZA,Vijayawada,SDAH,Sealdah,3A,37,0,3,89.95,420,12.89%
99593,Ranchi Humsafar Express,RNC,Ranchi,SBC,Bangalore City,SL,5,2,12,70.33,473,24.27%
96652,Mariani Jn-Shoranur Jn Express,MXN,Mariani Jn,SRR,Shoranur Jn,3A,117,6,4,77.11,309,6.66%
36177,Dibrugarh Town-Delhi Jn Mail Express,DBRT,Dibrugarh Town,DLI,Delhi Jn,SL,18,6,7,76.29,319,41.45%
26722,Kanpur Central-Rangiya Jn Express,CNB,Kanpur Central,RNY,Rangiya Jn,SL,107,4,4,69.05,238,20.09%
69055,Bikaner-Chennai Central Express,BKN,Bikaner,MAS,Chennai Central,2S,26,4,1,74.79,435,17.59%
86544,Bandra Terminus-Dehradun Intercity Express,BDTS,Bandra Terminus,DDN,Dehradun,3A,103,0,8,76.51,210,26.48%
58626,Dibrugarh Town-New Jalpaiguri Mail Express,DBRT,Dibrugarh Town,NJP,New Jalpaiguri,1A,78,6,5,68.14,105,57.66%
85637,Kochuveli-Kanyakumari Superfast Express,KCVL,Kochuveli,CAPE,Kanyakumari,2S,8,4,4,72.52,416,31.94%
13212,New Delhi-Delhi Jn Express,NDLS,New Delhi,DLI,Delhi Jn,CC,55,2,4,71.49,97,70.18%
32530,Mariani Jn-Shalimar Mail Express,MXN,Mariani Jn,SHM,Shalimar,2S,84,2,12,87.73,43,69.52%
90181,Darbhanga-Ernakulam Jn Superfast Express,DBG,Darbhanga,ERS,Ernakulam Jn,3A,97,0,6,98.09,282,15.98%
59201,Kanyakumari-Chennai Central Express,CAPE,Kanyakumari,MAS,Chennai Central,1A,89,1,11,96.65,195,42.12%
45918,Hyderabad Deccan-Bikaner Express,HYB,Hyderabad Deccan,BKN,Bikaner,CC,74,3,7,77.91,281,31.31%
81010,Lumding Jn-Kokrajhar Intercity Express,LMG,Lumding Jn,KOJ,Kokrajhar,2S,25,0,5,90.39,65,77.39%
