train_no,train_name,source,source_name,destination,destination_name,class,quota,days_before_journey,day_of_week,month,is_festival,past_avg_waitlist,past_punctuality,confirmation_chance,cancellation_rate,punctuality_rate
12423,Rajdhani Express,VSKP,Visakhapatnam,SDAH,Sealdah,3AC,TQ,2,0,8,1,142,85.43,59.87,35.35,81.51
12423,Rajdhani Express,CSMT,Mumbai CST,JP,Jaipur,SL,GN,4,1,11,1,110,62.63,86.51,10.18,63.44
12345,Saraighat Express,GHY,Guwahati,VSKP,Visakhapatnam,2AC,TQ,3,4,2,1,16,73.69,100.0,0.0,71.77
12001,Shatabdi Express,AGTL,Agartala,BBS,Bhubaneswar,3AC,LD,7,3,1,1,65,71.92,97.57,6.86,72.07
12001,Shatabdi Express,AGTL,Agartala,JP,Jaipur,SL,TQ,7,3,4,0,48,86.15,100.0,4.44,86.9
12345,Saraighat Express,CSMT,Mumbai CST,VSKP,Visakhapatnam,1AC,TQ,1,5,6,1,44,82.77,93.39,3.13,82.14
15644,Kamakhya Express,RNC,Ranchi,SCL,Silchar,2AC,TQ,0,1,8,1,92,89.11,66.34,31.6,89.61
15960,Kanchanjunga Express,PNBE,Patna,MAS,Chennai Central,SL,GN,2,6,4,0,74,74.02,87.81,12.79,71.66
12501,Poorvottar Sampark Kranti,AGTL,Agartala,BBS,Bhubaneswar,2AC,GN,5,2,5,0,129,78.44,72.25,28.85,77.57
12423,Rajdhani Express,MAS,Chennai Central,SBC,Bangalore,SL,LD,6,4,1,1,152,81.02,69.41,28.54,78.04
12423,Rajdhani Express,BBS,Bhubaneswar,DBRG,Dibrugarh,2AC,LD,7,6,2,1,124,95.81,74.12,29.43,97.54
12501,Poorvottar Sampark Kranti,GHY,Guwahati,MAS,Chennai Central,2AC,LD,3,1,6,1,94,69.95,80.24,21.34,72.03
12505,North East Express,JP,Jaipur,SDAH,Sealdah,3AC,LD,2,4,4,1,127,66.46,59.06,38.05,70.43
12378,Padatik Express,BBS,Bhubaneswar,RNC,Ranchi,1AC,TQ,7,3,9,1,33,81.68,100.0,0.33,86.04
12505,North East Express,SCL,Silchar,NDLS,New Delhi,1AC,LD,0,5,5,0,15,71.15,92.43,4.83,75.41
12505,North East Express,RNC,Ranchi,BBS,Bhubaneswar,1AC,LD,3,0,11,1,52,91.87,98.0,0.0,91.46
12345,Saraighat Express,JP,Jaipur,VSKP,Visakhapatnam,3AC,TQ,5,5,11,1,1,77.36,100.0,0.0,80.34
12378,Padatik Express,VSKP,Visakhapatnam,DBRG,Dibrugarh,SL,GN,7,2,7,1,172,64.29,66.96,33.19,66.05
12001,Shatabdi Express,SDAH,Sealdah,CSMT,Mumbai CST,SL,TQ,5,3,8,1,184,83.08,65.31,38.6,78.33
15644,Kamakhya Express,JP,Jaipur,SBC,Bangalore,1AC,GN,2,6,3,0,148,89.92,71.06,25.56,93.43
12001,Shatabdi Express,SDAH,Sealdah,MAS,Chennai Central,2AC,GN,0,6,4,0,45,72.8,88.86,12.9,76.98
12001,Shatabdi Express,SDAH,Sealdah,MAS,Chennai Central,SL,TQ,7,5,11,1,72,94.73,95.24,2.66,91.83
15666,BG Express,HWH,Howrah,MAS,Chennai Central,1AC,GN,3,5,1,1,83,98.99,91.37,7.65,97.4
12505,North East Express,NDLS,New Delhi,CSMT,Mumbai CST,SL,TQ,4,6,1,0,135,84.21,75.09,19.99,82.4
12505,North East Express,CSMT,Mumbai CST,SDAH,Sealdah,1AC,LD,1,2,1,1,177,78.98,49.84,48.54,80.42
12001,Shatabdi Express,BSB,Varanasi,CSMT,Mumbai CST,1AC,GN,7,5,3,0,101,64.84,91.15,10.9,61.07
15910,Avadh Assam Express,SCL,Silchar,JP,Jaipur,2AC,GN,4,4,5,1,172,96.98,56.53,39.79,92.05
12423,Rajdhani Express,SCL,Silchar,SDAH,Sealdah,SL,TQ,6,5,2,0,192,83.97,52.17,51.85,80.83
12501,Poorvottar Sampark Kranti,SCL,Silchar,CSMT,Mumbai CST,3AC,LD,7,4,5,1,108,62.5,90.02,5.02,59.67
12505,North East Express,KOAA,Kolkata,SCL,Silchar,2AC,GN,3,2,12,0,1,92.67,100.0,1.26,93.95
12378,Padatik Express,PNBE,Patna,DBRG,Dibrugarh,1AC,GN,3,6,9,0,146,72.12,59.12,37.81,74.72
15960,Kanchanjunga Express,AGTL,Agartala,BSB,Varanasi,2AC,TQ,7,2,5,0,12,62.51,100.0,4.38,63.16
15666,BG Express,MAS,Chennai Central,CSMT,Mumbai CST,1AC,GN,6,0,2,1,190,71.13,65.23,30.34,73.09
15666,BG Express,SBC,Bangalore,GHY,Guwahati,3AC,LD,7,1,10,1,37,97.14,100.0,0.0,95.02
12378,Padatik Express,PNBE,Patna,KOAA,Kolkata,3AC,LD,1,3,4,0,122,97.46,62.03,35.0,93.39
12505,North East Express,NDLS,New Delhi,BBS,Bhubaneswar,SL,LD,6,4,7,0,83,68.56,99.17,3.89,69.21
15960,Kanchanjunga Express,SDAH,Sealdah,GHY,Guwahati,3AC,LD,4,4,2,1,147,73.2,69.33,27.74,74.06
15644,Kamakhya Express,MAS,Chennai Central,ADI,Ahmedabad,2AC,TQ,1,6,5,1,170,97.58,42.07,53.8,99.18
12001,Shatabdi Express,SBC,Bangalore,DBRG,Dibrugarh,1AC,GN,0,4,4,0,32,95.59,83.6,16.75,98.65
15910,Avadh Assam Express,ADI,Ahmedabad,SDAH,Sealdah,1AC,GN,4,6,5,0,39,62.02,98.77,3.13,66.56
15666,BG Express,DBRG,Dibrugarh,PNBE,Patna,2AC,LD,2,5,7,1,34,81.22,98.37,0.18,76.27
12345,Saraighat Express,BSB,Varanasi,SBC,Bangalore,1AC,TQ,5,2,11,0,20,60.7,100.0,1.15,60.99
12505,North East Express,KOAA,Kolkata,RNC,Ranchi,2AC,LD,4,5,7,0,39,98.61,100.0,0.36,99.44
15644,Kamakhya Express,NDLS,New Delhi,PNBE,Patna,1AC,GN,5,3,4,1,195,64.64,58.56,38.19,65.59
12423,Rajdhani Express,VSKP,Visakhapatnam,JP,Jaipur,2AC,LD,0,1,5,1,191,82.79,32.7,67.26,87.25
15910,Avadh Assam Express,KOAA,Kolkata,BSB,Varanasi,SL,TQ,0,5,5,1,50,98.76,89.69,12.31,94.47
15960,Kanchanjunga Express,MAS,Chennai Central,DBRG,Dibrugarh,2AC,GN,3,2,7,0,168,84.83,57.2,45.64,84.05
15644,Kamakhya Express,BSB,Varanasi,BBS,Bhubaneswar,1AC,GN,2,6,2,0,193,62.98,45.49,50.13,60.43
12345,Saraighat Express,CSMT,Mumbai CST,SCL,Silchar,3AC,TQ,6,4,8,1,138,93.75,72.95,30.39,96.19
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,JP,Jaipur,SL,LD,6,5,9,0,164,62.61,61.11,34.38,61.1
12345,Saraighat Express,PNBE,Patna,HWH,Howrah,1AC,TQ,6,3,5,0,32,84.17,100.0,2.61,82.12
15644,Kamakhya Express,SDAH,Sealdah,DBRG,Dibrugarh,SL,GN,0,2,5,1,168,92.36,55.12,49.54,91.28
12505,North East Express,HWH,Howrah,JP,Jaipur,3AC,LD,0,1,7,1,146,97.13,63.55,39.95,94.27
12378,Padatik Express,MAS,Chennai Central,SDAH,Sealdah,1AC,LD,7,2,12,1,170,60.89,64.33,38.33,62.72
15644,Kamakhya Express,RNC,Ranchi,PNBE,Patna,3AC,TQ,2,3,10,0,176,72.48,55.91,40.59,68.02
12001,Shatabdi Express,SDAH,Sealdah,BBS,Bhubaneswar,3AC,GN,4,5,9,0,74,85.42,81.07,16.51,85.26
12505,North East Express,SBC,Bangalore,SCL,Silchar,1AC,LD,4,2,8,1,197,71.23,61.5,39.1,70.68
12423,Rajdhani Express,VSKP,Visakhapatnam,CSMT,Mumbai CST,SL,TQ,3,5,10,0,158,79.82,55.04,41.9,83.6
15644,Kamakhya Express,JP,Jaipur,NDLS,New Delhi,3AC,GN,7,3,1,1,20,90.26,100.0,4.54,86.59
12345,Saraighat Express,KOAA,Kolkata,DBRG,Dibrugarh,2AC,GN,5,3,7,0,176,88.02,71.39,27.13,85.25
15910,Avadh Assam Express,NDLS,New Delhi,JP,Jaipur,SL,LD,1,5,6,1,0,97.25,98.75,4.84,95.38
12378,Padatik Express,DBRG,Dibrugarh,JP,Jaipur,SL,TQ,0,1,5,1,45,89.28,89.57,14.42,93.73
12423,Rajdhani Express,KOAA,Kolkata,ADI,Ahmedabad,1AC,LD,6,5,5,0,42,77.05,96.63,0.0,75.33
15644,Kamakhya Express,BBS,Bhubaneswar,MAS,Chennai Central,3AC,LD,7,2,1,1,112,69.9,78.25,25.8,69.19
15644,Kamakhya Express,DBRG,Dibrugarh,AGTL,Agartala,3AC,GN,2,6,4,0,75,68.35,78.57,16.67,66.78
12001,Shatabdi Express,SDAH,Sealdah,BSB,Varanasi,SL,GN,4,1,8,0,46,96.89,90.8,7.66,97.23
15666,BG Express,KOAA,Kolkata,RNC,Ranchi,3AC,GN,1,6,5,1,189,97.06,45.71,54.84,94.46
15910,Avadh Assam Express,ADI,Ahmedabad,RNC,Ranchi,SL,GN,3,2,7,0,14,96.4,98.62,5.5,100.66
15644,Kamakhya Express,PNBE,Patna,ADI,Ahmedabad,3AC,GN,7,6,10,0,161,69.7,67.46,36.61,70.98
15644,Kamakhya Express,HWH,Howrah,BBS,Bhubaneswar,3AC,LD,4,0,1,1,130,91.39,66.66,33.98,92.72
15644,Kamakhya Express,KOAA,Kolkata,CSMT,Mumbai CST,3AC,LD,3,0,5,1,126,98.54,61.62,37.91,94.18
12001,Shatabdi Express,HWH,Howrah,BBS,Bhubaneswar,1AC,TQ,0,5,6,0,34,90.22,83.81,15.93,93.29
15960,Kanchanjunga Express,BSB,Varanasi,DBRG,Dibrugarh,2AC,TQ,6,4,5,1,115,77.21,80.11,18.77,75.72
12001,Shatabdi Express,NDLS,New Delhi,SDAH,Sealdah,3AC,GN,0,6,5,1,13,83.17,94.64,9.83,79.33
15960,Kanchanjunga Express,SCL,Silchar,BSB,Varanasi,1AC,TQ,0,5,12,0,24,88.93,87.38,8.3,93.27
12505,North East Express,BSB,Varanasi,ADI,Ahmedabad,3AC,TQ,1,4,5,0,103,92.04,66.98,36.67,89.73
12001,Shatabdi Express,BBS,Bhubaneswar,AGTL,Agartala,2AC,TQ,0,3,5,0,101,68.58,77.6,21.73,63.98
15644,Kamakhya Express,SBC,Bangalore,BSB,Varanasi,3AC,GN,3,0,7,0,114,90.82,72.23,26.62,93.08
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,KOAA,Kolkata,2AC,TQ,1,0,6,1,143,66.05,69.32,27.3,66.59
12501,Poorvottar Sampark Kranti,HWH,Howrah,KOAA,Kolkata,SL,GN,3,0,4,0,185,63.54,49.99,50.12,65.68
15666,BG Express,SDAH,Sealdah,CSMT,Mumbai CST,SL,GN,4,4,1,0,184,79.63,56.0,46.02,79.49
12001,Shatabdi Express,NDLS,New Delhi,PNBE,Patna,SL,TQ,5,0,3,0,33,64.62,100.0,2.71,59.75
12345,Saraighat Express,CSMT,Mumbai CST,JP,Jaipur,SL,TQ,6,6,9,0,13,89.32,100.0,2.81,84.77
12501,Poorvottar Sampark Kranti,AGTL,Agartala,DBRG,Dibrugarh,3AC,GN,5,2,1,0,179,82.3,69.16,29.81,79.46
12505,North East Express,BSB,Varanasi,AGTL,Agartala,3AC,GN,1,2,10,1,17,73.27,88.3,12.35,77.31
12378,Padatik Express,SCL,Silchar,AGTL,Agartala,2AC,TQ,7,4,6,0,4,98.76,100.0,0.0,95.86
12378,Padatik Express,BBS,Bhubaneswar,GHY,Guwahati,SL,TQ,7,2,1,1,60,66.44,99.87,1.02,67.27
12505,North East Express,SDAH,Sealdah,BSB,Varanasi,1AC,TQ,6,6,11,0,156,82.12,77.71,21.33,82.26
12378,Padatik Express,SBC,Bangalore,JP,Jaipur,SL,GN,5,4,6,0,116,73.91,82.61,12.79,77.59
12423,Rajdhani Express,SDAH,Sealdah,NDLS,New Delhi,1AC,LD,5,2,8,1,47,90.46,100.0,0.0,90.0
12378,Padatik Express,GHY,Guwahati,BSB,Varanasi,2AC,LD,6,6,1,0,101,66.5,86.73,10.58,64.06
12505,North East Express,NDLS,New Delhi,JP,Jaipur,SL,LD,2,1,1,0,89,92.25,86.87,16.25,87.85
12378,Padatik Express,BBS,Bhubaneswar,MAS,Chennai Central,SL,TQ,3,0,4,0,151,84.49,56.73,45.09,82.2
12345,Saraighat Express,MAS,Chennai Central,RNC,Ranchi,SL,GN,6,4,11,1,156,61.56,68.62,32.47,64.4
15644,Kamakhya Express,NDLS,New Delhi,MAS,Chennai Central,2AC,LD,7,0,9,0,25,63.95,100.0,0.17,64.35
12345,Saraighat Express,VSKP,Visakhapatnam,SCL,Silchar,2AC,GN,3,1,7,1,8,97.17,100.0,4.73,100.63
12501,Poorvottar Sampark Kranti,HWH,Howrah,ADI,Ahmedabad,3AC,LD,6,6,8,0,99,82.07,79.06,18.09,77.55
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,ADI,Ahmedabad,SL,TQ,4,0,12,0,50,74.18,92.75,7.87,78.54
15960,Kanchanjunga Express,JP,Jaipur,RNC,Ranchi,1AC,TQ,1,6,6,0,105,84.13,70.74,27.43,86.06
15666,BG Express,BSB,Varanasi,DBRG,Dibrugarh,1AC,GN,5,1,11,0,98,73.36,94.07,4.53,70.06
15644,Kamakhya Express,BSB,Varanasi,JP,Jaipur,1AC,LD,5,3,8,1,196,90.05,54.19,47.05,94.32
12345,Saraighat Express,BSB,Varanasi,NDLS,New Delhi,2AC,GN,5,1,12,0,70,78.49,86.58,10.83,75.25
12001,Shatabdi Express,CSMT,Mumbai CST,PNBE,Patna,2AC,GN,5,0,6,0,97,64.35,79.01,22.42,68.63
12423,Rajdhani Express,SCL,Silchar,SDAH,Sealdah,3AC,GN,7,2,11,0,95,87.84,84.44,16.7,85.35
15910,Avadh Assam Express,BSB,Varanasi,SCL,Silchar,3AC,GN,0,6,11,0,51,65.25,76.89,19.34,60.97
12001,Shatabdi Express,SDAH,Sealdah,DBRG,Dibrugarh,SL,TQ,1,3,1,1,52,92.11,79.65,20.64,90.44
12505,North East Express,GHY,Guwahati,VSKP,Visakhapatnam,3AC,GN,5,3,2,0,137,82.13,83.19,13.03,77.73
15960,Kanchanjunga Express,MAS,Chennai Central,JP,Jaipur,SL,LD,7,3,12,1,96,71.57,91.17,6.05,71.54
12378,Padatik Express,AGTL,Agartala,VSKP,Visakhapatnam,2AC,GN,4,4,2,0,16,94.98,100.0,0.0,95.62
12001,Shatabdi Express,DBRG,Dibrugarh,NDLS,New Delhi,SL,GN,6,6,9,1,47,63.23,96.9,2.58,59.76
12001,Shatabdi Express,PNBE,Patna,AGTL,Agartala,2AC,GN,5,5,6,0,154,60.57,60.22,34.96,58.55
15910,Avadh Assam Express,ADI,Ahmedabad,GHY,Guwahati,2AC,GN,3,2,8,1,71,98.2,90.12,11.3,102.7
12505,North East Express,SCL,Silchar,SBC,Bangalore,2AC,LD,0,5,3,1,184,89.68,44.84,51.84,89.68
15644,Kamakhya Express,SDAH,Sealdah,SBC,Bangalore,SL,LD,5,4,8,1,36,90.95,100.0,4.91,89.52
15666,BG Express,CSMT,Mumbai CST,BSB,Varanasi,1AC,LD,0,5,6,0,187,82.93,44.1,54.07,80.1
15666,BG Express,ADI,Ahmedabad,NDLS,New Delhi,3AC,LD,7,4,4,0,178,90.62,63.9,39.19,87.36
15666,BG Express,CSMT,Mumbai CST,SBC,Bangalore,3AC,GN,5,1,1,1,51,84.99,96.26,5.82,89.17
12423,Rajdhani Express,HWH,Howrah,CSMT,Mumbai CST,2AC,TQ,4,3,4,1,196,86.14,61.92,39.85,86.71
15644,Kamakhya Express,GHY,Guwahati,HWH,Howrah,SL,GN,1,3,1,0,139,73.25,59.97,44.78,71.21
15910,Avadh Assam Express,JP,Jaipur,DBRG,Dibrugarh,3AC,GN,0,3,5,0,152,92.11,63.52,33.17,94.4
15644,Kamakhya Express,MAS,Chennai Central,KOAA,Kolkata,2AC,GN,0,3,8,0,94,84.26,71.46,24.87,79.48
12345,Saraighat Express,MAS,Chennai Central,AGTL,Agartala,3AC,LD,5,3,4,1,51,70.12,100.0,0.0,65.3
15960,Kanchanjunga Express,MAS,Chennai Central,SBC,Bangalore,3AC,TQ,1,6,2,0,148,69.86,54.5,47.89,72.62
15910,Avadh Assam Express,MAS,Chennai Central,SCL,Silchar,SL,LD,3,4,3,0,155,91.31,69.53,33.2,87.46
15910,Avadh Assam Express,GHY,Guwahati,BBS,Bhubaneswar,1AC,LD,0,3,6,1,158,91.81,42.69,57.07,90.4
15910,Avadh Assam Express,BBS,Bhubaneswar,SBC,Bangalore,SL,TQ,3,1,8,0,48,92.76,100.0,0.67,91.92
15666,BG Express,SBC,Bangalore,BBS,Bhubaneswar,1AC,GN,1,2,6,1,125,92.3,73.25,24.05,91.01
12501,Poorvottar Sampark Kranti,AGTL,Agartala,RNC,Ranchi,1AC,TQ,0,0,7,1,12,90.69,91.04,10.4,94.27
15960,Kanchanjunga Express,GHY,Guwahati,NDLS,New Delhi,1AC,LD,7,0,9,1,124,65.6,84.47,11.12,67.91
12423,Rajdhani Express,NDLS,New Delhi,PNBE,Patna,1AC,GN,0,6,6,0,89,62.66,82.21,16.16,62.96
12345,Saraighat Express,RNC,Ranchi,DBRG,Dibrugarh,1AC,LD,2,4,4,0,80,69.3,72.3,28.01,71.37
15666,BG Express,SDAH,Sealdah,PNBE,Patna,1AC,TQ,5,1,9,1,4,93.6,100.0,3.01,93.78
15910,Avadh Assam Express,JP,Jaipur,SCL,Silchar,3AC,LD,0,3,9,1,94,70.78,78.04,17.96,69.91
12345,Saraighat Express,HWH,Howrah,CSMT,Mumbai CST,3AC,GN,4,5,7,1,83,63.28,87.65,13.58,60.62
12378,Padatik Express,MAS,Chennai Central,VSKP,Visakhapatnam,1AC,TQ,7,4,7,0,16,84.27,100.0,2.33,87.18
12345,Saraighat Express,JP,Jaipur,RNC,Ranchi,1AC,TQ,0,2,4,1,75,76.97,76.94,20.85,72.17
15644,Kamakhya Express,RNC,Ranchi,JP,Jaipur,3AC,GN,5,0,5,0,30,96.26,100.0,0.0,94.95
12501,Poorvottar Sampark Kranti,GHY,Guwahati,BBS,Bhubaneswar,1AC,TQ,1,3,2,1,52,98.38,84.42,18.8,101.27
12501,Poorvottar Sampark Kranti,AGTL,Agartala,SCL,Silchar,3AC,TQ,0,1,8,1,109,90.07,71.89,24.13,89.04
15960,Kanchanjunga Express,MAS,Chennai Central,ADI,Ahmedabad,3AC,LD,5,1,10,0,96,93.65,91.73,9.63,97.37
15644,Kamakhya Express,NDLS,New Delhi,KOAA,Kolkata,SL,TQ,6,3,6,0,30,60.21,99.74,0.0,55.3
12423,Rajdhani Express,VSKP,Visakhapatnam,KOAA,Kolkata,3AC,TQ,7,2,11,1,185,75.37,56.09,46.5,70.49
12345,Saraighat Express,PNBE,Patna,KOAA,Kolkata,2AC,GN,3,1,4,1,86,75.77,75.37,21.54,79.21
15644,Kamakhya Express,SBC,Bangalore,GHY,Guwahati,1AC,GN,3,0,6,0,172,62.56,62.9,40.98,67.29
12378,Padatik Express,JP,Jaipur,RNC,Ranchi,2AC,GN,6,1,12,1,171,69.49,70.15,29.17,65.93
12505,North East Express,VSKP,Visakhapatnam,HWH,Howrah,3AC,GN,0,4,7,0,195,91.68,50.62,47.33,96.19
15666,BG Express,GHY,Guwahati,MAS,Chennai Central,1AC,GN,2,3,11,1,139,76.99,59.74,43.49,72.26
15960,Kanchanjunga Express,PNBE,Patna,VSKP,Visakhapatnam,SL,GN,1,2,5,0,195,88.06,53.06,45.63,89.6
15960,Kanchanjunga Express,RNC,Ranchi,SDAH,Sealdah,SL,TQ,4,1,10,0,54,97.32,100.0,0.0,96.92
15960,Kanchanjunga Express,HWH,Howrah,SDAH,Sealdah,2AC,TQ,6,2,12,0,134,96.85,85.72,18.12,101.2
15644,Kamakhya Express,HWH,Howrah,DBRG,Dibrugarh,3AC,LD,6,6,8,1,31,71.86,100.0,0.04,67.47
12345,Saraighat Express,KOAA,Kolkata,ADI,Ahmedabad,2AC,GN,5,1,8,1,145,96.35,62.15,38.97,100.53
12501,Poorvottar Sampark Kranti,CSMT,Mumbai CST,HWH,Howrah,2AC,LD,1,3,3,1,147,73.58,60.01,37.01,72.62
12001,Shatabdi Express,ADI,Ahmedabad,AGTL,Agartala,3AC,TQ,5,1,2,0,31,93.58,100.0,0.0,91.41
15666,BG Express,GHY,Guwahati,SCL,Silchar,3AC,GN,2,6,9,0,62,77.8,87.6,16.82,78.22
15910,Avadh Assam Express,SBC,Bangalore,PNBE,Patna,SL,GN,5,6,10,1,84,86.63,95.78,8.48,83.21
12001,Shatabdi Express,SDAH,Sealdah,PNBE,Patna,3AC,TQ,5,1,5,1,61,88.66,100.0,0.0,86.15
12423,Rajdhani Express,VSKP,Visakhapatnam,KOAA,Kolkata,1AC,LD,2,5,6,0,98,64.14,79.61,23.34,59.63
12501,Poorvottar Sampark Kranti,AGTL,Agartala,RNC,Ranchi,3AC,TQ,3,2,4,0,76,79.81,81.7,21.97,75.65
15666,BG Express,AGTL,Agartala,BBS,Bhubaneswar,SL,LD,4,1,12,0,86,94.48,80.49,17.25,93.13
15910,Avadh Assam Express,AGTL,Agartala,SDAH,Sealdah,SL,TQ,4,5,10,0,180,96.44,55.47,45.44,97.81
12001,Shatabdi Express,BBS,Bhubaneswar,RNC,Ranchi,SL,GN,4,0,3,0,123,97.87,77.3,24.7,97.13
12345,Saraighat Express,RNC,Ranchi,HWH,Howrah,2AC,GN,2,5,9,0,182,68.09,53.5,42.84,65.97
12345,Saraighat Express,GHY,Guwahati,SDAH,Sealdah,3AC,TQ,1,0,9,1,43,91.53,98.26,0.0,95.64
15960,Kanchanjunga Express,BBS,Bhubaneswar,GHY,Guwahati,1AC,GN,3,1,8,1,182,67.84,47.27,50.49,68.28
12501,Poorvottar Sampark Kranti,NDLS,New Delhi,SBC,Bangalore,1AC,LD,6,4,6,1,2,94.36,100.0,0.0,91.0
15960,Kanchanjunga Express,JP,Jaipur,HWH,Howrah,2AC,LD,7,3,10,1,58,95.49,100.0,1.83,96.35
15666,BG Express,VSKP,Visakhapatnam,GHY,Guwahati,2AC,LD,2,3,11,1,60,98.83,92.99,7.54,95.69
12378,Padatik Express,PNBE,Patna,RNC,Ranchi,2AC,TQ,2,0,11,1,197,81.47,44.64,54.6,83.27
12505,North East Express,CSMT,Mumbai CST,ADI,Ahmedabad,3AC,GN,1,1,10,1,197,64.78,51.91,51.89,61.63
15960,Kanchanjunga Express,SCL,Silchar,BSB,Varanasi,2AC,LD,5,2,5,1,68,98.85,100.0,0.0,98.56
15644,Kamakhya Express,KOAA,Kolkata,NDLS,New Delhi,SL,LD,2,5,2,0,93,90.3,82.68,13.95,92.53
12001,Shatabdi Express,ADI,Ahmedabad,SCL,Silchar,3AC,TQ,4,2,7,1,173,78.02,56.86,38.72,75.65
12001,Shatabdi Express,CSMT,Mumbai CST,GHY,Guwahati,3AC,GN,4,3,10,0,118,67.02,75.51,25.26,66.33
