train_no,train_name,source,source_name,destination,destination_name
12423,Rajdhani Express,SDAH,Sealdah,MAS,Chennai Central
15910,Avadh Assam Express,MAS,Chennai Central,AGTL,Agartala
12001,Shatabdi Express,CSMT,Mumbai CST,JP,Jaipur
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,DBRG,Dibrugarh
12378,Padatik Express,JP,Jaipur,DBRG,Dibrugarh
12001,Shatabdi Express,HWH,Howrah,SBC,Bangalore
12001,Shatabdi Express,VSKP,Visakhapatnam,MAS,Chennai Central
15960,Kanchanjunga Express,SBC,Bangalore,AGTL,Agartala
15960,Kanchanjunga Express,MAS,Chennai Central,CSMT,Mumbai CST
15910,Avadh Assam Express,BBS,Bhubaneswar,GHY,Guwahati
12001,Shatabdi Express,AGTL,Agartala,ADI,Ahmedabad
15960,Kanchanjunga Express,ADI,Ahmedabad,NDLS,New Delhi
12501,Poorvottar Sampark Kranti,SBC,Bangalore,RNC,Ranchi
12501,Poorvottar Sampark Kranti,AGTL,Agartala,BSB,Varanasi
12345,Saraighat Express,DBRG,Dibrugarh,NDLS,New Delhi
12423,Rajdhani Express,PNBE,Patna,SCL,Silchar
15666,BG Express,PNBE,Patna,SCL,Silchar
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,CSMT,Mumbai CST
12423,Rajdhani Express,KOAA,Kolkata,VSKP,Visakhapatnam
12345,Saraighat Express,DBRG,Dibrugarh,HWH,Howrah
15910,Avadh Assam Express,DBRG,Dibrugarh,SDAH,Sealdah
12423,Rajdhani Express,DBRG,Dibrugarh,ADI,Ahmedabad
15666,BG Express,AGTL,Agartala,SCL,Silchar
15666,BG Express,PNBE,Patna,NDLS,New Delhi
12001,Shatabdi Express,BBS,Bhubaneswar,SBC,Bangalore
12501,Poorvottar Sampark Kranti,AGTL,Agartala,MAS,Chennai Central
12505,North East Express,DBRG,Dibrugarh,GHY,Guwahati
15644,Kamakhya Express,CSMT,Mumbai CST,AGTL,Agartala
12501,Poorvottar Sampark Kranti,MAS,Chennai Central,CSMT,Mumbai CST
12001,Shatabdi Express,BBS,Bhubaneswar,GHY,Guwahati
12345,Saraighat Express,ADI,Ahmedabad,BBS,Bhubaneswar
15644,Kamakhya Express,VSKP,Visakhapatnam,AGTL,Agartala
15910,Avadh Assam Express,KOAA,Kolkata,PNBE,Patna
15644,Kamakhya Express,GHY,Guwahati,SDAH,Sealdah
12378,Padatik Express,NDLS,New Delhi,KOAA,Kolkata
12001,Shatabdi Express,RNC,Ranchi,HWH,Howrah
15644,Kamakhya Express,BSB,Varanasi,AGTL,Agartala
15644,Kamakhya Express,VSKP,Visakhapatnam,KOAA,Kolkata
12505,North East Express,VSKP,Visakhapatnam,BSB,Varanasi
15666,BG Express,NDLS,New Delhi,RNC,Ranchi
12001,Shatabdi Express,PNBE,Patna,HWH,Howrah
15644,Kamakhya Express,KOAA,Kolkata,GHY,Guwahati
15666,BG Express,RNC,Ranchi,BBS,Bhubaneswar
12423,Rajdhani Express,GHY,Guwahati,SCL,Silchar
15910,Avadh Assam Express,HWH,Howrah,BSB,Varanasi
12501,Poorvottar Sampark Kranti,PNBE,Patna,ADI,Ahmedabad
12501,Poorvottar Sampark Kranti,CSMT,Mumbai CST,GHY,Guwahati
15644,Kamakhya Express,MAS,Chennai Central,RNC,Ranchi
12001,Shatabdi Express,GHY,Guwahati,DBRG,Dibrugarh
12423,Rajdhani Express,AGTL,Agartala,RNC,Ranchi
15644,Kamakhya Express,PNBE,Patna,BSB,Varanasi
12345,Saraighat Express,MAS,Chennai Central,SCL,Silchar
15960,Kanchanjunga Express,CSMT,Mumbai CST,ADI,Ahmedabad
12505,North East Express,KOAA,Kolkata,BBS,Bhubaneswar
15644,Kamakhya Express,JP,Jaipur,SDAH,Sealdah
12423,Rajdhani Express,BBS,Bhubaneswar,KOAA,Kolkata
15644,Kamakhya Express,SBC,Bangalore,AGTL,Agartala
12001,Shatabdi Express,KOAA,Kolkata,AGTL,Agartala
12505,North East Express,RNC,Ranchi,CSMT,Mumbai CST
12505,North East Express,BBS,Bhubaneswar,ADI,Ahmedabad
12505,North East Express,MAS,Chennai Central,KOAA,Kolkata
12345,Saraighat Express,BSB,Varanasi,KOAA,Kolkata
12345,Saraighat Express,BSB,Varanasi,ADI,Ahmedabad
12001,Shatabdi Express,NDLS,New Delhi,DBRG,Dibrugarh
12001,Shatabdi Express,BBS,Bhubaneswar,JP,Jaipur
15666,BG Express,DBRG,Dibrugarh,HWH,Howrah
12001,Shatabdi Express,MAS,Chennai Central,BSB,Varanasi
12001,Shatabdi Express,VSKP,Visakhapatnam,JP,Jaipur
12345,Saraighat Express,RNC,Ranchi,KOAA,Kolkata
12001,Shatabdi Express,AGTL,Agartala,KOAA,Kolkata
15910,Avadh Assam Express,AGTL,Agartala,HWH,Howrah
12501,Poorvottar Sampark Kranti,DBRG,Dibrugarh,KOAA,Kolkata
12501,Poorvottar Sampark Kranti,NDLS,New Delhi,BSB,Varanasi
15910,Avadh Assam Express,MAS,Chennai Central,ADI,Ahmedabad
12423,Rajdhani Express,JP,Jaipur,DBRG,Dibrugarh
15666,BG Express,RNC,Ranchi,KOAA,Kolkata
12378,Padatik Express,KOAA,Kolkata,BBS,Bhubaneswar
12345,Saraighat Express,VSKP,Visakhapatnam,CSMT,Mumbai CST
12001,Shatabdi Express,ADI,Ahmedabad,KOAA,Kolkata
15644,Kamakhya Express,BSB,Varanasi,KOAA,Kolkata
12423,Rajdhani Express,SBC,Bangalore,AGTL,Agartala
15666,BG Express,BSB,Varanasi,ADI,Ahmedabad
12505,North East Express,HWH,Howrah,PNBE,Patna
12501,Poorvottar Sampark Kranti,NDLS,New Delhi,BBS,Bhubaneswar
12505,North East Express,MAS,Chennai Central,ADI,Ahmedabad
12423,Rajdhani Express,CSMT,Mumbai CST,DBRG,Dibrugarh
12345,Saraighat Express,SDAH,Sealdah,PNBE,Patna
12505,North East Express,KOAA,Kolkata,NDLS,New Delhi
15644,Kamakhya Express,ADI,Ahmedabad,JP,Jaipur
15910,Avadh Assam Express,PNBE,Patna,SCL,Silchar
15666,BG Express,NDLS,New Delhi,KOAA,Kolkata
12501,Poorvottar Sampark Kranti,PNBE,Patna,AGTL,Agartala
15644,Kamakhya Express,GHY,Guwahati,CSMT,Mumbai CST
12423,Rajdhani Express,HWH,Howrah,BSB,Varanasi
15960,Kanchanjunga Express,BSB,Varanasi,SDAH,Sealdah
12505,North East Express,AGTL,Agartala,VSKP,Visakhapatnam
12001,Shatabdi Express,HWH,Howrah,ADI,Ahmedabad
12505,North East Express,ADI,Ahmedabad,JP,Jaipur
12501,Poorvottar Sampark Kranti,GHY,Guwahati,DBRG,Dibrugarh
15910,Avadh Assam Express,SCL,Silchar,BBS,Bhubaneswar
15910,Avadh Assam Express,DBRG,Dibrugarh,HWH,Howrah
15910,Avadh Assam Express,MAS,Chennai Central,DBRG,Dibrugarh
12505,North East Express,CSMT,Mumbai CST,GHY,Guwahati
12505,North East Express,NDLS,New Delhi,AGTL,Agartala
12001,Shatabdi Express,CSMT,Mumbai CST,RNC,Ranchi
12505,North East Express,MAS,Chennai Central,PNBE,Patna
12378,Padatik Express,JP,Jaipur,SCL,Silchar
15960,Kanchanjunga Express,SDAH,Sealdah,AGTL,Agartala
15960,Kanchanjunga Express,NDLS,New Delhi,SBC,Bangalore
15644,Kamakhya Express,BSB,Varanasi,SBC,Bangalore
15666,BG Express,AGTL,Agartala,VSKP,Visakhapatnam
12345,Saraighat Express,VSKP,Visakhapatnam,HWH,Howrah
12378,Padatik Express,VSKP,Visakhapatnam,HWH,Howrah
15960,Kanchanjunga Express,AGTL,Agartala,GHY,Guwahati
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,BSB,Varanasi
15960,Kanchanjunga Express,DBRG,Dibrugarh,ADI,Ahmedabad
12345,Saraighat Express,CSMT,Mumbai CST,BSB,Varanasi
15910,Avadh Assam Express,KOAA,Kolkata,NDLS,New Delhi
15910,Avadh Assam Express,CSMT,Mumbai CST,BBS,Bhubaneswar
15960,Kanchanjunga Express,VSKP,Visakhapatnam,HWH,Howrah
15910,Avadh Assam Express,CSMT,Mumbai CST,DBRG,Dibrugarh
15666,BG Express,SDAH,Sealdah,BSB,Varanasi
12001,Shatabdi Express,DBRG,Dibrugarh,RNC,Ranchi
12378,Padatik Express,JP,Jaipur,HWH,Howrah
12423,Rajdhani Express,SCL,Silchar,BBS,Bhubaneswar
15666,BG Express,DBRG,Dibrugarh,KOAA,Kolkata
12378,Padatik Express,MAS,Chennai Central,DBRG,Dibrugarh
15644,Kamakhya Express,NDLS,New Delhi,BBS,Bhubaneswar
12423,Rajdhani Express,NDLS,New Delhi,HWH,Howrah
15910,Avadh Assam Express,DBRG,Dibrugarh,SCL,Silchar
12378,Padatik Express,BSB,Varanasi,NDLS,New Delhi
15960,Kanchanjunga Express,ADI,Ahmedabad,DBRG,Dibrugarh
15910,Avadh Assam Express,CSMT,Mumbai CST,MAS,Chennai Central
12378,Padatik Express,KOAA,Kolkata,DBRG,Dibrugarh
12001,Shatabdi Express,SDAH,Sealdah,VSKP,Visakhapatnam
15644,Kamakhya Express,AGTL,Agartala,JP,Jaipur
